"","EntityID","API_UWI","API_UWI_List","ProdDate","Liquid","Gas","Water","WellCount","Days","DailyAvgOil","DailyAvgGas","DailyAvgWater"
"1481",122785258,33061005340000,33061005340000,"2007-08-01",642,204,0,1,1,642,204,0
"1482",122785258,33061005340000,33061005340000,"2007-09-01",12315,3644,0,1,27,456,134,0
"1483",122785258,33061005340000,33061005340000,"2007-10-01",6981,2362,0,1,16,436,147,0
"1484",122785258,33061005340000,33061005340000,"2007-11-01",11268,3743,0,1,28,402,133,0
"1485",122785258,33061005340000,33061005340000,"2007-12-01",8024,2657,0,1,20,401,132,0
"1486",122785258,33061005340000,33061005340000,"2008-01-01",11701,3963,1868,1,31,377,127,60
"1487",122785258,33061005340000,33061005340000,"2008-02-01",10073,3442,1520,1,29,347,118,52
"1488",122785258,33061005340000,33061005340000,"2008-03-01",8611,3343,1445,1,29,296,115,49
"1489",122785258,33061005340000,33061005340000,"2008-04-01",7185,2526,893,1,30,239,84,29
"1490",122785258,33061005340000,33061005340000,"2008-05-01",6535,2343,838,1,31,210,75,27
"1491",122785258,33061005340000,33061005340000,"2008-06-01",5728,2056,695,1,30,190,68,23
"1492",122785258,33061005340000,33061005340000,"2008-07-01",5261,1853,727,1,31,169,59,23
"1493",122785258,33061005340000,33061005340000,"2008-08-01",4927,1285,635,1,31,158,41,20
"1494",122785258,33061005340000,33061005340000,"2008-09-01",4318,913,561,1,30,143,30,18
"1495",122785258,33061005340000,33061005340000,"2008-10-01",4294,1070,550,1,31,138,34,17
"1496",122785258,33061005340000,33061005340000,"2008-11-01",3995,1148,492,1,30,133,38,16
"1497",122785258,33061005340000,33061005340000,"2008-12-01",4443,1550,679,1,28,158,55,24
"1498",122785258,33061005340000,33061005340000,"2009-01-01",4415,1698,679,1,31,142,54,21
"1499",122785258,33061005340000,33061005340000,"2009-02-01",3467,1002,478,1,28,123,35,17
"1500",122785258,33061005340000,33061005340000,"2009-03-01",3556,1186,516,1,31,114,38,16
"1501",122785258,33061005340000,33061005340000,"2009-04-01",3368,1240,465,1,30,112,41,15
"1502",122785258,33061005340000,33061005340000,"2009-05-01",3090,1075,515,1,31,99,34,16
"1503",122785258,33061005340000,33061005340000,"2009-06-01",3055,1018,461,1,30,101,33,15
"1504",122785258,33061005340000,33061005340000,"2009-07-01",2939,880,1018,1,29,101,30,35
"1505",122785258,33061005340000,33061005340000,"2009-08-01",3228,1172,423,1,31,104,37,13
"1506",122785258,33061005340000,33061005340000,"2009-09-01",3068,1072,486,1,30,102,35,16
"1507",122785258,33061005340000,33061005340000,"2009-10-01",3120,1034,469,1,31,100,33,15
"1508",122785258,33061005340000,33061005340000,"2009-11-01",2647,1048,358,1,30,88,34,11
"1509",122785258,33061005340000,33061005340000,"2009-12-01",2855,1292,419,1,31,92,41,13
"1510",122785258,33061005340000,33061005340000,"2010-01-01",2657,1070,476,1,30,88,35,15
"1511",122785258,33061005340000,33061005340000,"2010-02-01",2512,994,432,1,28,89,35,15
"1512",122785258,33061005340000,33061005340000,"2010-03-01",2346,913,369,1,31,75,29,11
"1513",122785258,33061005340000,33061005340000,"2010-04-01",2197,826,372,1,29,75,28,12
"1514",122785258,33061005340000,33061005340000,"2010-05-01",2266,948,394,1,29,78,32,13
"1515",122785258,33061005340000,33061005340000,"2010-06-01",2003,683,386,1,30,66,22,12
"1516",122785258,33061005340000,33061005340000,"2010-07-01",1826,590,382,1,30,60,19,12
"1517",122785258,33061005340000,33061005340000,"2010-08-01",1925,605,392,1,26,74,23,15
"1518",122785258,33061005340000,33061005340000,"2010-09-01",2256,640,534,1,30,75,21,17
"1519",122785258,33061005340000,33061005340000,"2010-10-01",1992,739,372,1,31,64,23,12
"1520",122785258,33061005340000,33061005340000,"2010-11-01",1774,761,341,1,29,61,26,11
"1521",122785258,33061005340000,33061005340000,"2010-12-01",1369,452,369,1,20,68,22,18
"1522",122785258,33061005340000,33061005340000,"2011-01-01",1842,683,287,1,31,59,22,9
"1523",122785258,33061005340000,33061005340000,"2011-02-01",1541,570,299,1,28,55,20,10
"1524",122785258,33061005340000,33061005340000,"2011-03-01",1651,681,302,1,31,53,21,9
"1525",122785258,33061005340000,33061005340000,"2011-04-01",1695,683,269,1,29,58,23,9
"1526",122785258,33061005340000,33061005340000,"2011-05-01",1610,672,307,1,31,51,21,9
"1527",122785258,33061005340000,33061005340000,"2011-06-01",1471,664,266,1,30,49,22,8
"1528",122785258,33061005340000,33061005340000,"2011-07-01",1453,663,259,1,31,46,21,8
"1529",122785258,33061005340000,33061005340000,"2011-08-01",1278,649,261,1,31,41,20,8
"1530",122785258,33061005340000,33061005340000,"2011-09-01",1454,685,313,1,30,48,22,10
"1531",122785258,33061005340000,33061005340000,"2011-10-01",1556,683,266,1,31,50,22,8
"1532",122785258,33061005340000,33061005340000,"2011-11-01",1303,625,245,1,30,43,20,8
"1533",122785258,33061005340000,33061005340000,"2011-12-01",1408,620,284,1,30,46,20,9
"1534",122785258,33061005340000,33061005340000,"2012-01-01",1331,580,248,1,31,42,18,8
"1535",122785258,33061005340000,33061005340000,"2012-02-01",1124,477,223,1,29,38,16,7
"1536",122785258,33061005340000,33061005340000,"2012-03-01",1263,556,238,1,31,40,17,7
"1537",122785258,33061005340000,33061005340000,"2012-04-01",1273,548,214,1,30,42,18,7
"1538",122785258,33061005340000,33061005340000,"2012-05-01",1248,595,238,1,31,40,19,7
"1539",122785258,33061005340000,33061005340000,"2012-06-01",974,512,346,1,29,33,17,11
"1540",122785258,33061005340000,33061005340000,"2012-07-01",1304,573,224,1,31,42,18,7
"1541",122785258,33061005340000,33061005340000,"2012-08-01",1170,576,283,1,31,37,18,9
"1542",122785258,33061005340000,33061005340000,"2012-09-01",1133,572,307,1,30,37,19,10
"1543",122785258,33061005340000,33061005340000,"2012-10-01",1131,573,299,1,31,36,18,9
"1544",122785258,33061005340000,33061005340000,"2012-11-01",1141,1206,249,1,30,38,40,8
"1545",122785258,33061005340000,33061005340000,"2012-12-01",1117,635,226,1,31,36,20,7
"1546",122785258,33061005340000,33061005340000,"2013-01-01",1076,563,316,1,31,34,18,10
"1547",122785258,33061005340000,33061005340000,"2013-02-01",931,537,182,1,28,33,19,6
"1548",122785258,33061005340000,33061005340000,"2013-03-01",1000,586,205,1,31,32,18,6
"1549",122785258,33061005340000,33061005340000,"2013-04-01",918,424,305,1,30,30,14,10
"1550",122785258,33061005340000,33061005340000,"2013-05-01",875,461,287,1,31,28,14,9
"1551",122785258,33061005340000,33061005340000,"2013-06-01",960,435,182,1,30,32,14,6
"1552",122785258,33061005340000,33061005340000,"2013-07-01",700,386,163,1,31,22,12,5
"1553",122785258,33061005340000,33061005340000,"2013-08-01",923,449,298,1,31,29,14,9
"1554",122785258,33061005340000,33061005340000,"2013-09-01",965,446,387,1,30,32,14,12
"1555",122785258,33061005340000,33061005340000,"2013-10-01",896,443,205,1,31,28,14,6
"1556",122785258,33061005340000,33061005340000,"2013-11-01",859,424,174,1,30,28,14,5
"1557",122785258,33061005340000,33061005340000,"2013-12-01",1122,474,317,1,31,36,15,10
"1558",122785258,33061005340000,33061005340000,"2014-01-01",749,430,190,1,31,24,13,6
"1559",122785258,33061005340000,33061005340000,"2014-02-01",809,410,158,1,28,28,14,5
"1560",122785258,33061005340000,33061005340000,"2014-03-01",864,374,178,1,31,27,12,5
"1561",122785258,33061005340000,33061005340000,"2014-04-01",812,424,259,1,30,27,14,8
"1562",122785258,33061005340000,33061005340000,"2014-05-01",115,45,74,1,5,23,9,14
"1563",122785258,33061005340000,33061005340000,"2014-06-01",177,42,484,1,10,17,4,48
"1564",122785258,33061005340000,33061005340000,"2014-07-01",652,318,139,1,31,21,10,4
"1565",122785258,33061005340000,33061005340000,"2014-08-01",1069,373,295,1,30,35,12,9
"1566",122785258,33061005340000,33061005340000,"2014-09-01",953,252,261,1,30,31,8,8
"1567",122785258,33061005340000,33061005340000,"2014-10-01",907,340,190,1,31,29,10,6
"1568",122785258,33061005340000,33061005340000,"2014-11-01",1235,683,357,1,30,41,22,11
"1569",122785258,33061005340000,33061005340000,"2014-12-01",1172,596,208,1,31,37,19,6
"1570",122785258,33061005340000,33061005340000,"2015-01-01",1097,609,300,1,31,35,19,9
"1571",122785258,33061005340000,33061005340000,"2015-02-01",877,743,179,1,28,31,26,6
"1572",122785258,33061005340000,33061005340000,"2015-03-01",937,527,318,1,31,30,17,10
"1573",122785258,33061005340000,33061005340000,"2015-04-01",1044,577,296,1,30,34,19,9
